Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,3.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,7.25,7.25,7.25,Y đa khoa
1,Năng lực bản thân,3.0,2.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,2.5,5.75,5.75,5.75,5.75,Dệt may
1,Năng lực bản thân,3.0,4.0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,7.25,8.5,5.75,2.5,7.25,5.75,5.75,Sư phạm tiểu học
0,Sở thích,4.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,8.5,8.5,Truyền thông mạng máy tính
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,7.25,8.5,Dược sĩ
0,Năng lực bản thân,4.0,3.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,5.75,8.5,9.5,Y đa khoa
0,"Tư vấn từ thầy cô, bạn bè",3.0,4.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,7.25,9.5,7.25,5.75,7.25,7.25,9.5,Vật Lý kỹ thuật
1,Sở thích,3.0,5.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,8.5,7.25,7.25,Truyền thông mạng máy tính
1,Sở thích,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2.5,8.5,9.5,5.75,5.75,5.75,Quản trị kinh doanh
1,Nguyện vọng của gia đình,1.0,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,8.5,5.75,5.75,8.5,8.5,Dược sĩ
0,Nguyện vọng của gia đình,5.0,3.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,8.5,9.5,8.5,8.5,5.75,7.25,7.25,Cơ khí
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,8.5,8.5,8.5,Tin học ứng dụng
1,Sở thích,4.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,7.25,8.5,8.5,Hóa học
0,Sở thích,2.0,3.0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,7.25,8.5,5.75,9.5,9.5,9.5,Văn học
1,Sở thích,4.0,3.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,8.5,7.25,9.5,Khoa học máy tính
0,Sở thích,4.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,9.5,8.5,8.5,7.25,Y học dự phòng
1,Sở thích,3.0,3.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,8.5,8.5,8.5,Truyền thông mạng máy tính
0,Sở thích,4.0,4.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,5.75,7.25,7.25,Dược sĩ
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,8.5,8.5,7.25,Truyền thông mạng máy tính
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,8.5,7.25,8.5,8.5,Truyền thông mạng máy tính
1,Năng lực bản thân,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5,7.25,8.5,7.25,7.25,8.5,8.5,Công nghệ thông tin
0,Sở thích,4.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Quân đội
0,Mức thu nhập của gia đình,4.0,4.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.75,8.5,9.5,7.25,5,5.75,7.25,Hệ thống thông tin
0,Năng lực bản thân,5.0,5.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5,5.75,2.5,7.25,7.25,7.25,5.75,Công nghệ thông tin
1,Năng lực bản thân,5.0,5.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,5.75,5,8.5,8.5,Quản trị kinh doanh
0,Sở thích,5.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,8.5,8.5,5,7.25,7.25,7.25,Quản trị kinh doanh
1,Năng lực bản thân,4.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,7.25,5,5.75,5.75,8.5,8.5,8.5,Bảo vệ thực vật
1,Năng lực bản thân,4.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5.75,7.25,7.25,8.5,7.25,8.5,8.5,Công nghệ thực phẩm
1,Năng lực bản thân,3.0,1.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,8.5,9.5,8.5,Nông học
1,Sở thích,4.0,1.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7.25,7.25,7.25,8.5,8.5,9.5,8.5,Văn học
0,Năng lực bản thân,5.0,3.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9.5,9.5,8.5,8.5,8.5,8.5,8.5,Khoa học máy tính
1,Sở thích,3.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,7.25,7.25,7.25,7.25,8.5,Quản trị kinh doanh
0,Nguyện vọng của gia đình,5.0,5.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,7.25,7.25,Công nghệ thông tin
1,Năng lực bản thân,4.0,2.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,8.5,7.25,7.25,7.25,8.5,Tài chính ngân hàng
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,5,8.5,8.5,Hệ thống thông tin
1,Sở thích,3.0,1.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,8.5,5.75,8.5,7.25,7.25,Quản lý đất đai
1,Sở thích,5.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,5,8.5,7.25,7.25,7.25,Hệ thống thông tin
1,Sở thích,4.0,1.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,7.25,7.25,Kế toán
1,Năng lực bản thân,4.0,2.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,7.25,8.5,8.5,7.25,7.25,7.25,7.25,Kế toán
1,Sở thích,3.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8.5,7.25,8.5,5,5.75,8.5,8.5,Quản trị kinh doanh
